w1m4p1	880980p_all	880983p_all	880977p_all	880979p_all	880981p_all	880978p_all	880982p_all
w2m0m0	831551p_all	831554p_all	831555p_all	831550p_all	831549p_all	831552p_all	831553p_all
w3p3m2	967630p_all	967625p_all	967629p_all	967624p_all	967627p_all	967626p_all	967628p_all
w1p3m2	827301p_all	827305p_all	827306p_all	827303p_all	827302p_all	827304p_all	827300p_all
w2p1m1	832097p_all	832099p_all	832093p_all	832095p_all	832094p_all	832098p_all	832096p_all
w3p3p1	900062p_all	900061p_all	900060p_all	900058p_all	900064p_all	900059p_all	900063p_all
w3m0p3	849629p_all	849627p_all	849625p_all	849624p_all	849630p_all	849628p_all	849626p_all
w1m3m2	879646p_all	879644p_all	879650p_all	879645p_all	879647p_all	879649p_all	879648p_all
w2p3p1	777443p_all	777312p_all	777314p_all	777444p_all	777313p_all	777445p_all	777442p_all
w3m2m2	793057p_all	793055p_all	793052p_all	793056p_all	793051p_all	793053p_all	793054p_all
w1p1m0	819875p_all	819870p_all	819873p_all	819872p_all	819871p_all	819869p_all	819874p_all
w2m1m0	831662p_all	831660p_all	831658p_all	831664p_all	831663p_all	831659p_all	831661p_all
w4p1m1	860599p_all	860595p_all	860596p_all	860594p_all	860598p_all	860600p_all	860597p_all
w1p2m3	875618p_all	875620p_all	875616p_all	875613p_all	875614p_all	875619p_all	875617p_all
w1p3m4	963127p_all	963126p_all	963128p_all	963125p_all	963130p_all	963129p_all	963131p_all
w2p3p2	732383p_all	732381p_all	732380p_all	732385p_all	732384p_all	732382p_all
w1p1m1	826636p_all	826639p_all	826640p_all	826641p_all	826637p_all	826638p_all	826642p_all
w1p4p2	1030215p_all	1030219p_all	1030213p_all	1030214p_all	1030216p_all	1030218p_all	1030217p_all
w3p1m3	742882p_all	742884p_all	742881p_all	742883p_all	742880p_all	742885p_all
w4m3p2	918395p_all	918398p_all	918396p_all	918397p_all	918394p_all	918392p_all	918393p_all
w4m1p0	859951p_all	859946p_all	859947p_all	859949p_all	859945p_all
w2p3p3	784758p_all	784761p_all	784759p_all	784764p_all	784762p_all	784763p_all	784760p_all
w1p4p0	720106p_all	720104p_all	720107p_all	720103p_all	720105p_all	720108p_all	720102p_all
w2m1p1	831204p_all	831202p_all	831207p_all	831201p_all	831205p_all	831206p_all	831203p_all
w4m3m0	918266p_all	918267p_all	918163p_all	918164p_all	918265p_all	918162p_all	918165p_all
w3p2p1	793815p_all	793813p_all	793809p_all	793812p_all	793810p_all	793811p_all	793814p_all
w4p2p0	860414p_all	860413p_all	860415p_all	860418p_all	860416p_all	860419p_all	860417p_all
w3m2m3	792951p_all	792947p_all	792948p_all	792949p_all	792952p_all	792950p_all	792946p_all
w3m1m1	792444p_all	792442p_all	792443p_all	792445p_all	792439p_all	792440p_all	792441p_all
w1m1m1	821856p_all	821855p_all	821858p_all	821854p_all	821857p_all	821852p_all	821853p_all
w1m2m4	964846p_all	964845p_all	964843p_all	964849p_all	964848p_all	964847p_all	964844p_all
